epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0658,2.52207,4.37514,1.93345,0.00723,0.11111,0.08247,0.05792,2.06758,4.39185,1.8183,6.152e-05,6.152e-05,6.152e-05
2,77.343,1.5692,4.07331,1.37422,0.01227,0.36467,0.15356,0.10338,1.08825,3.99658,1.05437,0.000128142,0.000128142,0.000128142
3,118.788,1.15826,3.50961,1.10351,0.01081,0.42758,0.19605,0.1393,1.07865,3.70239,0.96734,0.000192022,0.000192022,0.000192022
4,168.799,1.10986,2.78968,1.05016,0.98072,0.11009,0.3669,0.26258,0.92094,3.34182,0.93197,0.000253162,0.000253162,0.000253162
5,221.374,1.05052,2.10926,1.03829,1,0.11148,0.26515,0.17624,1.19647,3.65262,1.16095,0.000311562,0.000311562,0.000311562
6,289.987,1.01567,1.65921,1.01681,0.88889,0.08221,0.3566,0.20772,1.26837,3.69863,1.18747,0.000367221,0.000367221,0.000367221
7,367.791,0.94828,1.39271,0.98945,0.06443,0.75098,0.49812,0.32726,1.24663,3.32621,1.17717,0.000420139,0.000420139,0.000420139
8,450.231,0.98548,1.25276,0.9773,0.96234,0.19539,0.6293,0.40609,1.28828,2.91832,1.17923,0.000470316,0.000470316,0.000470316
9,527.614,0.86799,1.01962,0.9455,0.99483,0.28883,0.78563,0.52548,1.15281,2.59442,1.04964,0.000517752,0.000517752,0.000517752
10,598.737,0.92579,0.99599,0.9972,0.99611,0.43625,0.92923,0.69615,0.95744,2.29813,0.96075,0.000562448,0.000562448,0.000562448
11,672.234,0.87979,0.88555,0.95308,0.98922,0.73992,0.98627,0.77175,0.84051,1.70432,0.92031,0.000604403,0.000604403,0.000604403
12,745.621,0.8949,0.86258,0.9552,0.98457,0.86359,0.99108,0.77368,0.80957,1.34034,0.90463,0.000601512,0.000601512,0.000601512
13,1212.33,0.84619,0.83558,0.94834,0.98542,0.91205,0.9927,0.78271,0.76929,1.26842,0.89259,0.000586286,0.000586286,0.000586286
14,1242.21,0.81646,0.83433,0.93478,0.987,0.9065,0.99227,0.78824,0.78817,1.31506,0.89883,0.000571059,0.000571059,0.000571059
15,1272.32,0.88728,0.82867,0.93294,0.97904,0.94482,0.99172,0.77256,0.79676,1.24981,0.91715,0.000555833,0.000555833,0.000555833
16,1304.18,0.82193,0.77132,0.92535,0.97288,0.97803,0.99302,0.79051,0.77212,0.98826,0.9131,0.000540607,0.000540607,0.000540607
17,1339.02,0.81285,0.77942,0.92819,0.97764,0.98035,0.99296,0.7972,0.73413,0.91744,0.89518,0.000525381,0.000525381,0.000525381
18,1374.31,0.76808,0.71447,0.9176,0.97888,0.99786,0.99327,0.79977,0.71927,0.77358,0.88302,0.000510155,0.000510155,0.000510155
19,1411.38,0.80786,0.71354,0.92489,0.97976,0.99839,0.99229,0.77855,0.78452,0.78478,0.89081,0.000494928,0.000494928,0.000494928
20,1451.19,0.78186,0.70281,0.90699,0.97661,0.99836,0.99117,0.80206,0.71874,0.72366,0.87564,0.000479702,0.000479702,0.000479702
21,1495.58,0.77832,0.70239,0.90744,0.9793,0.99815,0.99168,0.81033,0.69987,0.66622,0.8691,0.000464476,0.000464476,0.000464476
22,1547.67,0.7449,0.68622,0.9017,0.98442,0.99726,0.99158,0.80857,0.70018,0.67888,0.87152,0.00044925,0.00044925,0.00044925
23,1605.16,0.80015,0.71995,0.91997,0.98417,0.99743,0.99233,0.81263,0.69515,0.72301,0.86876,0.000434024,0.000434024,0.000434024
24,1670.78,0.77349,0.65581,0.90306,0.98698,0.99559,0.99465,0.81437,0.69678,0.63636,0.879,0.000418797,0.000418797,0.000418797
